yr,mo,dy,date,time,ploss,P2,NAME,FIPS,SQMI
2000,11,5,11/5/2000,17:48:00,0,10,Adams County,31001,564.23
2000,4,26,4/26/2000,16:40:00,0,10,Holt County,31089,2417.5
2000,4,26,4/26/2000,18:30:00,0,10,Antelope County,31003,858.59
2000,5,17,5/17/2000,15:41:00,0,10,Lincoln County,31111,2575.12
2000,5,17,5/17/2000,15:57:00,0,10,Lincoln County,31111,2575.12
2000,5,17,5/17/2000,16:30:00,0,10,Platte County,31141,684.59
2000,5,20,5/20/2000,14:30:00,0,10,Madison County,31119,575.45
2000,5,29,5/29/2000,22:00:00,0,10,Platte County,31141,684.59
2000,5,7,5/7/2000,16:19:00,0,10,Scotts Bluff County,31157,745.56
2000,5,7,5/7/2000,16:30:00,0,10,Scotts Bluff County,31157,745.56
2000,6,11,6/11/2000,17:45:00,0,10,York County,31185,575.83
2000,6,11,6/11/2000,18:00:00,0,10,York County,31185,575.83
2000,6,11,6/11/2000,18:20:00,0,10,York County,31185,575.83
2000,6,11,6/11/2000,21:59:00,0,10,Fillmore County,31059,576.53
2000,6,12,6/12/2000,19:55:00,0,10,Custer County,31041,2575.96
2000,6,12,6/12/2000,20:48:00,0,10,Custer County,31041,2575.96
2000,6,13,6/13/2000,14:04:00,0,10,Otoe County,31131,619.02
2000,6,13,6/13/2000,14:37:00,0,10,Otoe County,31131,619.02
2000,6,13,6/13/2000,14:54:00,0,10,Cass County,31025,565.89
2000,6,13,6/13/2000,15:00:00,0,10,Dodge County,31053,543
2000,6,19,6/19/2000,18:17:00,0,10,Phelps County,31137,540.43
2000,6,19,6/19/2000,18:25:00,0,10,Valley County,31175,570.46
2000,6,19,6/19/2000,19:27:00,0,10,Madison County,31119,575.45
2000,6,29,6/29/2000,13:43:00,0,10,Hooker County,31091,721.5
2000,6,29,6/29/2000,14:00:00,0,10,Hooker County,31091,721.5
2000,6,3,6/3/2000,19:58:00,0,10,Antelope County,31003,858.59
2000,6,3,6/3/2000,20:15:00,0,10,Pierce County,31139,574.59
2000,6,3,6/3/2000,20:50:00,0,10,Antelope County,31003,858.59
2000,6,3,6/3/2000,21:25:00,0,10,Antelope County,31003,858.59
2000,7,20,7/20/2000,16:55:00,0,10,Gosper County,31073,462.72
2000,7,3,7/3/2000,18:10:00,0,10,Frontier County,31063,980.08
2000,7,5,7/5/2000,17:36:00,0,10,Morrill County,31123,1430.06
2000,7,5,7/5/2000,17:45:00,0,10,Banner County,31007,746.19
2000,4,26,4/26/2000,18:05:00,0.002,20,Antelope County,31003,858.59
2000,6,25,6/25/2000,12:35:00,0.002,20,Merrick County,31121,496.78
2000,4,26,4/26/2000,16:50:00,0.02,40,Holt County,31089,2417.5
2000,10,31,10/31/2000,19:00:00,0.03,43,Nemaha County,31127,409.6
2000,6,29,6/29/2000,16:40:00,0.03,43,Dawson County,31047,1019.43
2000,7,21,7/21/2000,18:50:00,0.04,44,Valley County,31175,570.46
2000,7,24,7/24/2000,18:47:00,0.08,82,Brown County,31017,1225.14
2000,5,17,5/17/2000,14:45:00,0.1,84,Lincoln County,31111,2575.12
2000,4,26,4/26/2000,16:10:00,0.2,60,Holt County,31089,2417.5
2000,10,31,10/31/2000,19:35:00,0.75,75,Custer County,31041,2575.96
2000,5,17,5/17/2000,16:15:00,0.75,75,Lincoln County,31111,2575.12
2000,10,31,10/31/2000,19:00:00,1,100,Custer County,31041,2575.96
